person,position,start_precision,start,end_precision,end
https://www.wikidata.org/entity/Q28989,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q317905,https://www.wikidata.org/wiki/Q58005513,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q2498541,https://www.wikidata.org/wiki/Q2498120,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q104190,https://www.wikidata.org/wiki/Q531471,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q152463,https://www.wikidata.org/wiki/Q23011565,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q235080,https://www.wikidata.org/wiki/Q55502624,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q71231,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q1405,https://www.wikidata.org/wiki/Q842606,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q2625711,https://www.wikidata.org/wiki/Q2498120,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q2357762,https://www.wikidata.org/wiki/Q2498120,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q270415,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q273613,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q182840,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q157084,https://www.wikidata.org/wiki/Q23011565,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q128701,https://www.wikidata.org/wiki/Q55502624,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q1407,https://www.wikidata.org/wiki/Q842606,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q19281006,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q888593,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q192846,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q2498455,https://www.wikidata.org/wiki/Q2498120,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q244766,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q312767,https://www.wikidata.org/wiki/Q58005513,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q193112,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q160190,https://www.wikidata.org/wiki/Q22923081,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q273809,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q273613,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q154936,https://www.wikidata.org/wiki/Q22923081,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q150712,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q238639,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q1409,https://www.wikidata.org/wiki/Q842606,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q497915,https://www.wikidata.org/wiki/Q26943762,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q315076,https://www.wikidata.org/wiki/Q12097,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q273809,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q28989,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q150712,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q1981153,N/A,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q208086,https://www.wikidata.org/wiki/Q29168087,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q157099,https://www.wikidata.org/wiki/Q22923081,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q295268,https://www.wikidata.org/wiki/Q58005513,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q1411,https://www.wikidata.org/wiki/Q842606,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q143099,https://www.wikidata.org/wiki/Q26943762,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q348943,https://www.wikidata.org/wiki/Q58005513,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q157121,https://www.wikidata.org/wiki/Q12097,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q60115,https://www.wikidata.org/wiki/Q7618907,N/A,N/A,N/A,N/A
https://www.wikidata.org/entity/Q294651,https://www.wikidata.org/wiki/Q14211,N/A,N/A,N/A,N/A
